	V1	meanHet	SE_het	NAs	population	group	knnImputed	binomImputed	binomPopulation
258	RB_17_7_HFH73BBXY	0.261660447761194	0.009745544778415341	50.0	RB_17	RB	0.2584320875113947	0.26754785	0.25569737
259	RB_17_8_HFH73BBXY	0.2879069767441861	0.010716284462870363	44.0	RB_17	RB	0.28441203281677296	0.29398358	0.30218777
260	RB_17_9_HFH73BBXY	0.2632079961922894	0.009064799006913713	93.0	RB_17	RB	0.2634457611668186	0.27119416	0.25205106
261	SK_08_10_HFNFVBBXY	0.24433497536945814	0.00907782706203656	164.0	SK_08	SK	0.24065633546034637	0.2584321	0.3008204
262	SK_08_11_HFNFVBBXY	0.27824858757062143	0.009341668735079354	70.0	SK_08	SK	0.27347310847766637	0.28486782	0.269371
263	SK_08_12_HFNFVBBXY	0.19759759759759765	0.009515430491388182	529.0	SK_08	SK	0.20009115770282593	0.26663628	0.14995442
264	SK_08_13_HFH73BBXY	0.223887587822014	0.008446565666073158	59.0	SK_08	SK	0.21969006381039202	0.22971742	0.21786691
265	SK_08_14_HFNFVBBXY	0.29271708683473385	0.010137704184088464	52.0	SK_08	SK	0.29033728350045573	0.29535097	0.2857794
266	SK_08_15_HFNFVBBXY	0.2392392392392393	0.009882560958290845	196.0	SK_08	SK	0.23837739288969917	0.26071104	0.21786691
267	SK_08_16_HFNFVBBXY	0.25795398923152224	0.010195695832520873	151.0	SK_08	SK	0.2525068368277119	0.2702826	0.24020055
268	SK_08_17_HFNFVBBXY	0.2562065541211519	0.008370751117111549	180.0	SK_08	SK	0.2520510483135825	0.27119416	0.23518687
269	SK_08_18_HFNFVBBXY	0.214246272777471	0.009600582558967735	383.0	SK_08	SK	0.21422060164083867	0.25113946	0.17684594
270	SK_08_19_HFNFVBBXY	0.196604600219058	0.009370725156921838	368.0	SK_08	SK	0.19917958067456698	0.24703738	0.16362807
271	SK_08_1_HFH73BBXY	0.24172185430463577	0.009382182910545435	80.0	SK_08	SK	0.23928896991795812	0.24886052	0.23290794
